project_slug,project_name
phuquocdog,Phu Quoc Dog
pinedefi,Pine Finance
planckerlabs,PlanckerLabs
pool-together,PoolTogether
poseidon-zkp,Poseidon-ZKP
project-lion,Project LION
protobox-xyz,Protobox-xyz
pyth-network,Pyth Network
quest-chains,Quest Chains
refimedellin,ReFiMedellin
retropgf-hub-fwb-creators,RetroPGF-Hub
ringsnetwork,RingsNetwork
rouge-ticket,Rouge Ticket
rysk-finance,Rysk Finance
statelessart,STATELESSART
set-protocol,Set Protocol
silo-finance,Silo Finance
stakegarden,Stake Garden
starling-lab,Starling Lab
stateless-art,StatelessArt
taylor-pedde,Taylor-Pedde
testinprod-io,Test in Prod
the-standard,The Standard
thunder-chat-app,Thunder Chat
tigris-trade,Tigris-Trade
tockable,Tockable.xyz
tornadocash,Tornado Cash
troopfinance,TroopFinance
trusted-seed,Trusted Seed
us3r-network,US3R Network
vmex-finance,VMEX Finance
via-protocol,Via Protocol
violet-verse,Violet-Verse
wallet-guard,Wallet Guard
web3guardian,Web3Guardian
whynotswitch,WhyNotSwitch
wild-friends,Wild-Friends
yokifinance,Yoki Finance
alembic-tech,alembic.tech
anotherblock,anotherblock
attr-gallery,attr-gallery
basin-global,basin.global
blocksecteam,blocksecteam
chelofinance,chelofinance
chocomintapp,chocomintapp
contrix-zkid,contrix-zkid
dappy-studio,dappy-studio
daredrop-xyz,daredrop-xyz
dittonetwork,dittonetwork
dm3-protocol,dm3 protocol
ecomarketapp,ecomarketapp
eggcess-tech,eggcess-tech
fatcat-money,fatcat.money
firefly-land,firefly-land
forkinwisdom,forkinwisdom
fundaomental,funDAOmental
functionland,functionland
hardhat-gas-reporter-cgewecke,gas-reporter
hats-finance,hats-finance
lightclients,lightclients
medocons2023,medocons2023
metadatalabs,metadatalabs
moontownweb3,moontownweb3
openbuildxyz,openbuildxyz
rantomdotapp,rantomdotapp
reaudito-org,reaudito-org
serenita-org,serenita-org
soliditylabs,soliditylabs
speciecircle,speciecircle
vultureprime,vultureprime
zondirectory,zondirectory
zrex-finance,zrex-finance
1hive,1Hive Gardens
arpa-network,ARPA Randcast
airgap-it,Airgap Wallet
aletheia-data,Aletheia Data
alexlumleyorg,AlexLumleyOrg
altitudedefi,Altitude DeFi
animuslabsdev,AnimusLabsDev
another-world,Another World
antalpha-labs,Antalpha-Labs
apex-protocol,ApeX Protocol
arken-lab,Arken Finance
asilodigital,Asilo Digital
aurellionlabs,AurellionLabs
band-protocol,Band Protocol
bankless-card,Bankless Card
beaconrunner-ethereum,Beacon Runner
beamer-bridge,Beamer Bridge
beefy-finance,Beefy Finance
bioverse-labs,Bioverse-Labs
bitcoindesign,BitcoinDesign
bloomnetwork,Bloom Network
bond-protocol,Bond Protocol
rabbithole,Boost Studios
brokkrfinance,BrokkrFinance
commons-stack,Commons Stack
cora-protocol,Cora Protocol
crustio,Crust Network
cryptozombieshq,CryptoZombies
dapp-learning-dao,Dapp-Learning
data4builders,Data4Builders
decartography,DeCartography
decentraplace,Decentraplace
discoverselab,Discoverselab
dopedao,Dope Wars DAO
eywa-protocol,EYWA Protocol
ecosynthesisx,EcoSynthesisX
0xeigenlabs,Eigen Network
ethereumphone,EthereumPhone
ethscriptions-protocol,Ethscriptions
evergreencoin,EverGreenCoin
extra-finance,Extra Finance
flux-protocol,Flux Protocol
forta-network,Forta Network
fortapatterns,FortaPatterns
fractalflows,Fractal Flows
fungiprotocol,FungiProtocol
gpad-lab,GPAD Protocol
gainsnetwork,Gains Network
filedrive-team,Go Graphsplit
hats-protocol,Hats Protocol
infinity-keys,Infinity Keys
jojoexchange,JOJO Exchange
kakarot-kkrt-labs,Kakarot zkEVM
kovan-testnet,Kovan Testnet
laboriginweb3,LabOriginWeb3
lemma-finance,Lemma Finance
hai-on-op,"Let""s Get HAI"
magmaprotocol,Magma Finance
mayan-finance,Mayan Finance
daqnext,Meson Network
mummy-finance,Mummy Finance
neondapp,NEON Protocol
nacdbdatabase,NacDBDatabase
nocodeclarity,NoCodeClarity
offchainlabs,Offchain Labs
olive-finance,Olive-Finance
onchain-reads-matallo,Onchain Reads
openlittermap,OpenLitterMap
opiumprotocol,Opium Network
orbuculum-dao,Orbuculum-DAO
outerbridgeio,OuterbridgeIO
pika-protocol,Pika Protocol
primordiumdao,PrimordiumDAO
project-vinyl,Project Vinyl
radomnetwork,Radom Network
remix-project,Remix Project
scion-finance,Scion Finance
scryprotocol,Scry Protocol
seedlefinance,SeedleFinance
smart-invoice-xyz,Smart Invoice
solid-grinder-ratimon,Solid Grinder
solv-finance,Solv Protocol
sonne-finance,Sonne Finance
spearbit-portfolio,Spearbit Labs
stampnetwork,Stamp Network
tarot-finance,Tarot Finance
ethernaut-openzeppelin,The Ethernaut
theredguild,The Red Guild
thegallerydao,TheGalleryDAO
thirdstorage,Third Storage
tide-protocol-fiveelementslabs,Tide Protocol
topianetwork,Topia Network
velaexchange,Vela Exchange
vovofinance,Volvo Finance
winrprotocol,WINR Protocol
kaifoundry,Walnut Wallet
white-hat-dao,White Hat DAO
zerodao-finance,Zero Protocol
zeroboundlabs,ZeroBoundLabs
banklessadria,banklessadria
cashmere-labs,cashmere-labs
coincashewcom,coincashewcom
copernicspace,copernicspace
cws-ecosystem,cws-ecosystem
ecoland-world,ecoland-world
face-protocol,face-protocol
garbiprotocol,garbiprotocol
gigawatt-core,gigawatt-core
iranunchained,iranunchained
ixofoundation,ixofoundation
jengajojo-gov,jengajojo-gov
mevboost-pics-nerolation,mevboost.pics
moby-dev-team,moby-dev-team
optimism-java,optimism-java
pear-protocol,pear-protocol
smartcontarct,smartcontarct
staketogether,staketogether
sunrise-stake,sunrise-stake
vself-project,vself-project
alliance-bridge,AllianceBridge
angle-protocol,Angle Protocol
anima-protocol,Anima Protocol
atlantis-world-core,Atlantis World
battlefly-game,BattleFly-Game
blockchain-cli-0xs34n,Blockchain CLI
breadchaincoop,BreadchainCoop
buidlguidlmatt,BuidlGuidlMatt
chansonstudio,Chanson Studio
citizenwallet,Citizen Wallet
cryptosmartnow,CryptoSmartNow
culture-blocks,Culture Blocks
deltaprimelabs,DeltaPrimeLabs
democracyearth,DemocracyEarth
dorisprotocol,Doris Protocol
spellbook-duneanalytics,Dune Spellbook
epochprotocol,Epoch Protocol
ethereum-chile,Ethereum Chile
ethereumcn-eth,EthereumCN-eth
etheriot-games,Etheriot-Games
fluidity-money,Fluidity Money
generalmagicio,GeneralMagicio
giftedbrainlab,GiftedBrainLab
goerli,Goerli Testnet
grappafinance,Grappa Finance
hardhat-tracer-zemse,Hardhat Tracer
hedgey-finance,Hedgey Finance
itu-blockchain,ITU Blockchain
impact-stream-0xprimordia,Impact Stream 
inbest-program,Inbest-Program
jarvis-network,Jarvis Network
xkcp,Keccak hashing
leastauthority,LeastAuthority
minerva-wallet-lab10-coop,Minerva Wallet
modular-crypto,Modular-Crypto
nft-pricefloor,NFT-PriceFloor
nodeguardians,Node Guardians
notifi-network,Notifi Network
obsidian-desci,Obsidian-Desci
oceanprotocol,Ocean Protocol
open-spellbook,Open Spellbook
orange-finance,Orange Finance
ownership-labs,Ownership Labs
pickle-finance,Pickle Finance
pokt-network,Pocket Network
protocol-guild,Protocol Guild
proveuswrong,Prove Us Wrong
pulsardefi,Pulsar Finance
quantum-oracle-notarizedscreenshot,Quantum Oracle
range-protocol,Range Protocol
rango-exchange,Rango Exchange
revert-finance,Revert Finance
revest-finance,Revest Finance
saddle-finance,Saddle Finance
sentient-river,Sentient-River
shapeshift,ShapeShift DAO
shenanigandapp,ShenaniganDApp
sprintcheckout,Sprintcheckout
statechannels,State Channels
steer-protocol,Steer Protocol
txrx-research,TX RX Research
slipstream,The Slipstream
unitradeafrica,UnitradeAfrica
vendorfinance,Vendor Finance
vesta-protocol,Vesta Protocol
voltz-protocol,Voltz Protocol
vyper-protocol,Vyper Protocol
walletconnect,Wallet Connect
ethereum-burn-stats-mohamedmansour,Watch The Burn
wombex-finance,Wombex Finance
yieldprotocol,Yield Protocol
zeron-protocol,Zeron-Protocol
actor-protocol,actor-protocol
atlab-official,atlab-official
bg-expiriments,bg-expiriments
blockhead-info,blockhead-info
cascadiacarbon,cascadiacarbon
chokepoint-dao,chokepoint-dao
communities-id,communities-id
externalshield,externalshield
farmly-finance,farmly-finance
fomofoundation,fomofoundation
gmx-python-sdk,gmx-python-sdk
liminalvillage,liminalvillage
mawena-startup,mawena-startup
nowherepublish,nowherepublish
primex-finance,primex-finance
realworldzeros,realworldzeros
rite-of-moloch,rite-of-moloch
rubberduckybot,rubberduckybot
sociallayer-im,sociallayer-im
superbridgeapp,superbridgeapp
the-candy-shop,the-candy-shop
transeptorlabs,transeptorlabs
trudan-studios,trudan-studios
wallidprotocol,walliDprotocol
web3matters-zh,web3matters-zh
zcloak-network,zCloak-Network
aboard-exchange,Aboard Exchange
adrastia-oracle,Adrastia Oracle
agregore-browser-agregoreweb,Agregore Mobile
cryptoalgebra,Algebra Finance
arbitrumnewsdao,ArbitrumNewsDAO
arcadia-finance,Arcadia Finance
arrakis-finance,Arrakis Finance
astralprotocol,Astral Protocol
bankless-africa,Bankless-Africa
bhavish-finance,Bhavish finance
bit-btc-protocol,BitBTC Protocol
0x-boring-security,Boring Security
breadcrumbsapp,Breadcrumbs.app
brilliantblocks,BrilliantBlocks
builtndifferent,BuiltnDifferent
chaineresearch,Chaine Research
chaingefinance,Chainge Finance
copper-protocol,Copper Protocol
crypto-fees-dmihal,CryptoFees.info
definomics-labs,DeFinomics Labs
decentraschool,Decentraclasses
eco-association,Eco Association
emerald-dao,Emerald Academy
ethereum-on-arm,Ethereum on ARM
ethereum-mexico,Ethereum-Mexico
exodusmovement,Exodus Movement
filwallet-lucasespinosa28,Filecoin Wallet
filosofiacodigo,FilosofiaCodigo
flipside-crypto,Flipside Crypto
fortressfinance,FortressFinance
fractal-visions,Fractal Visions
gammaswap,Gamma Swap Labs
gatorwalletlabs,GatorWalletLabs
glitter-finance,Glitter Finance
goplussecurity,GoPlus Security
guild-w,Guild Waterdrop
harberger-token-0xfind,Harberger Token
heavenstoolsllc,HeavensToolsLLC
hundred-finance,Hundred Finance
infinitywallet,Infinity Wallet
ink-finance-inc,Ink-Finance-Inc
inverse-finance,Inverse Finance
inverternetwork,InverterNetwork
kairosresearch,Kairos Research
kimberlite-labs,Kimberlite-Labs
longevity-genie,Longevity Genie
ludium-official,Ludium-Official
mindful-hacklab,Mindful-HackLab
nativesintech,Natives in Tech
opdelegate-michael-vander-meiden,OPdelegate.com 
onchainmonopoly,OnChainMonopoly
opendataforweb3,OpenDataforWeb3
orbiter-finance,Orbiter Finance
orderlynetwork,Orderly Network
paideia-ai,Paideia Copilot
project-lion-ai,Project-LION-AI
public-assembly,Public Assembly
pulsarswap,Pulsar Protocol
pussy-financial,Pussy-Financial
radio-shack-swap,RadioShack Swap
reyield-finance,Reyield Finance
router-protocol,Router Protocol
secured-finance,Secured Finance
sherlock-audit,Sherlock Audits
shutter-network,Shutter Network
slice-analytics,Slice Analytics
smartinvoicexyz,SmartInvoiceXYZ
solace-labs,Solace Protocol
spheronfdn,Spheron Network
stackupfinance,Stackup Finance
starshipfinance,StarshipFinance
sukuri-protocol,Sukuri-Protocol
switch-electric,Switch Electric
talentprotocol,Talent Protocol
tor-project,The Tor Project
therougeproject,TheRougeProject
thescinitiative,TheSCInitiative
transit-finance,Transit Finance
twister-finance,Twister Finance
unhosted-wallet,Unhosted-Wallet
universaldot,Universaldot.me
unlock-protocol,Unlock Protocol
vaultka-project,Vaultka-Project
vertex-protocol,Vertex Protocol
wombat-exchange,Wombat Exchange
zigzagexchange,ZigZag Exchange
attentionadsqap,attentionadsqap
better-feedback,better-feedback
cryptopoker-nft,cryptopoker-nft
defibasket-corp,defibasket-corp
enso-collective,enso-collective
function03-labs,function03-labs
get-illuminated,get-Illuminated
gigantix-wallet,gigantix-wallet
gracie-platform,gracie-platform
grow-ecosystems,grow-ecosystems
near-everything,near-everything
taiverse-public,taiverse-public
thedreamdao-eth,thedreamdao-eth
toaster-finance,toaster-finance
web3association,web3association
zklinkprotocol,zkLink Protocol
zkp-co-learning,zkp-co-learning
aperture-finance,Aperture-Finance
awesome-optimism-lucas-op,Awesome Optimism
bankless-academy,Bankless Academy
blockridenft-org,BlockrideNFT-org
chronosex,Chronos Exchange
keyko-io,DeFi Marketplace
ephemery-testnet,Ephemery Testnet
ethereum-ecuador,Ethereum Ecuador
open-rpc,Filecoin+OpenRPC
ipfs-force-community,Filscan Explorer
flemingprotocol,Fleming Protocol
frontierregistry,FrontierRegistry
gammastrategies,Gamma Strategies
global-interlink,Global-Interlink
gravita-protocol,Gravita Protocol
guardian-project,Guardian Project
besu-hyperledger,Hyperledger Besu
impermax-finance,Impermax Finance
innovaz-platform,Innovaz-platform
internet-archive,Internet Archive
inverter-network,Inverter Network
liquity,Liquity Protocol
locksmithwallet,Locksmith Wallet
lodestarfinance,Lodestar Finance
maven-foundation,Maven-Foundation
membranefi,Membrane Finance
nacion-bankless,Nación Bankless
neptunechain-inc,NeptuneChain-Inc
numbersprotocol,Numbers Protocol
open-web-academy,Open Web Academy
particle-network,Particle Network
pheasant-network,Pheasant Network
pistachio-wallet,Pistachio-Wallet
projectmerlindao,ProjectMerlinDAO
secureum-race,RACE by Secureum
redstone-finance,Redstone Finance
shift-collective,Shift Collective
social-dev-token,Social-Dev-Token
stargate-finance,Stargate Finance
stories-unveiled,Stories-Unveiled
supermodular-xyz,Supermodular.xyz
symphony-finance,Symphony Finance
the-stack-report,The Stack Report
treejer,Treejer Protocol
unit-blocktree-toknowwhy,UNIT & Blocktree
umbrella-network,Umbrella Network
unruggable-labs,Unruggable Names
co-vo-co,Voting Contracts
web3hacker-world,Web3Hacker-World
amphitheatre-app,amphitheatre-app
contributionlabs,contributionlabs
creativeplatform,creativeplatform
delegation-tools,delegation.tools
ethereumcolombia,ethereumcolombia
friends-of-pooly,friends-of-pooly
governance-stuff,governance-stuff
web3devcommunity,web3devcommunity
aerodrome-finance,Aerodrome Finance
eea-oasis,Baseline Protocol
uniwhales,Cielo & UniWhales
coinhook-orgs,Coinhook (Mercle)
despace-community,DeSpace-Community
distributed-press,Distributed Press
dolomite-exchange,Dolomite Exchange
ethereumhn,Ethereum Honduras
research-ethereum,Ethereum Research
farcaster-indexer-gskril,Farcaster Indexer
interest-protocol,Interest Protocol
kassandrafinance,Kassandra Finance
liquid-resilience-digoppgroup,Liquid Resilience
m3tering,M3tering Protocol
planetarycouncil,Planetary Council
prettier-solidity,Prettier Solidity
proof-of-humanity,Proof of Humanity
ricochet-exchange,Ricochet-Exchange
seamless-protocol,Seamless Protocol
shipyard-software,Shipyard Software
smallbraingames,Small Brain Games
spacemarketplace,Space Marketplace
symbiosis-finance,Symbiosis Finance
theslipstreamteam,TheSlipstreamTeam
threshold-network,Threshold Network
ultrasoundmoney,Ultra Sound Money
unlimitednetwork,Unlimited Network
w3b3d3v,Web3dev Community
wizard-scientific,Wizard-Scientific
fundingthecommons,fundingthecommons
powerpool-finance,powerpool-finance
solidity-analyzer-parmanuxyz,solidity-analyzer
solidity-coverage-sc-forks,solidity-coverage
we-create-project,we-create-project
aspiringdevelopers,AspiringDevelopers
blockchainedindia,Blockchained India
capyloon,Capyloon Mobile OS
chromatic-protocol,Chromatic Protocol
composablefi,Composable Finance
crowdfundedcures,Crowd Funded Cures
cybercat-institute,CyberCat-Institute
dropchain-atlantis,Dropchain-Atlantis
eqbtech,Equilibria Finance
growth-and-girders,Growth-and-Girders
irrigationprotocol,IrrigationProtocol
kenlabs,KEN Labs Education
lighthouse-web3,Lighthouse Storage
lotus-farcaste-s0nik42,Lotus Farcaster v2
twinquasar,Lotus Farcaster v3
ovm-plasma-group,OVM (Plasma Group)
open-source-zuzalu,Open-Source-Zuzalu
ouroboros-research,Ouroboros-Research
perpetual-protocol,Perpetual Protocol
piethereumhardware,PiEthereumHardware
plants-and-pillars,Plants And Pillars
positiveblockchain,PositiveBlockchain
powerloom,PowerLoom Protocol
proof-of-innocence-chainway,Proof of Innocence
reservoirprotocol,Reservoir Protocol
satisfiedvagabonds,SatisfiedVagabonds
starboard-ventures,Starboard Ventures
portal-network-specs-ethereum,The Portal Network
solidity-guild,The Solidity Guild
tkn-tickerdao,Token Name Service
wasmedge,WasmEdge-based FVM
wildcards-protocol,Wildcards Protocol
zkp2p,ZKP2P Fiat On Ramp
consequenceneutral,consequenceneutral
notyourgallery-xyz,notyourgallery-xyz
carmineoptions,Carmine Options AMM
decentralized-co-op,Decentralized-Co-op
ens-wayback-machine,ENS Wayback Machine
eoa-blockchain-labs,EOA-Blockchain-Labs
core-emergent-reputation,Emergent Reputation
ethdominicana,Ethereum Dominicana
footprintanalytics,Footprint Analytics
rust-kzg-sifraitech,Grandine (rust-kzg)
gravity-dao-archive,Gravity DAO Archive
heart-games-pte-ltd,Heart-Games-Pte-Ltd
innomic-gamechanger,Innomic-GameChanger
kibi-navigation-hub,KiBi-Navigation-Hub
mechanism-institute,Mechanism Institute
neptune-mutual-blue,Neptune Mutual Blue
notarizedscreenshot,NotarizedScreenshot
open-data-community-web3,Open Data Community
openregistry-containerish,OpenRegistry x IPFS
polynomial-protocol,Polynomial Protocol
shivarthu-democracy,Shivarthu Democracy
synthetix-node-synthetixio,Synthetix IPFS Node
wuw-whateveryouwant,WUW-WhateverYouWant
open-oracle-origami,open-oracle-origami
cannon-geohot,Cannon (George Hotz)
muragekibicho,Cosines For Everyone
digitaltrustprotocol,DigitalTrustProtocol
ethereum-cat-herders,Ethereum Cat Herders
ethereum-org-website-ethereum,Ethereum.Org Website
dedge-project,Filecoin Green: ES4D
glifio,Glif Infinite Scroll
grassrootseconomics,Grassroots Economics
kredeum,Kredeum NFTs Factory
yolo2-pytorch-pingaowang,ML NFT Data Labeling
anyswap,Multichain (Anyswap)
opensource-observer,Open Source Observer
optimism-gas-tracker-buildooor,Optimism Gas Tracker
polysensus-chaintrap,Polysensus Chaintrap
defluencer,Prolly Trees in Rust
threefoldfoundation,ThreeFold Foundation
tomorrow-labs-africa,Tomorrow-Labs-Africa
typechain-dethcrypto,TypeChain / DethCode
all-weather-protocol,all-weather-protocol
farcaster-py-vrypan,farcaster-py & fario
francescoweb3-github,francescoweb3-github
gmx-application-test,gmx-application-test
go-ethereum-hdwallet-miguelmota,go-ethereum-hdwallet
react-native-village,react-native-village
snipermonke-projects,snipermonke-projects
bondi-wealth-security,Bondi-Wealth-Security
eneagon-zenbit-eth,Eneagon by zenbit.eth
filmineio,Filmine Web3 explorer
hedera-hash-developer,Hedera-Hash-developer
hummingbot,Hummingbot Foundation
op-ai-web-asharibali,Optimism AI - ChatBot
prysmaticlabs,Prysm Ethereum Client
satoshi-treasure-game,Satoshi-Treasure-Game
venture-miner,Venture Miner Academy
weekinethnews,Week in Ethereum News
zuzalu-housing,Zuzalu Housing Tetris
blst-supranational,blst by Supranational
grants-stack-frontier,grants-stack-frontier
wallet-test-framework,wallet-test-framework
atomist-castle-capital,Atomist-Castle-Capital
cowri,Cowri (Shell Protocol)
daring-crypto-ventures,Daring-Crypto-Ventures
easier-data-initiative,Easier Data Initiative
halo2-noir-mach-34,Halo2 Backend for Noir
dataseekcn,IPFS VS Code Extension
lync-world,LYNC: GameFi Ecosystem
pokt-foundation,Pocket Network (Grove)
salva-terra-foundation,Salva-Terra-Foundation
andyjagoe,Web3 Product Analytics
nilcrypto3,Weighted threshold BLS
zeroknowledgefm,Zero Knowledge Podcast
cryptocarnes-gitteamhub,Cryptocarnes-GitTeamHub
digital-asset-solutions,Digital-Asset-Solutions
edgeandnode,Edge & Node / The Graph
execution-apis-ethereum,Ethereum Execution APIs
gaslitedrop-poppunkllc,Gaslite Drop by Gaslite
green-digital-guardians,Green Digital Guardians
muck-rock-document-cloud,MuckRock: DocumentCloud
oxcart,Oxcart Applied Research
decentralized-education,decentralized-education
optimism-impact-ranking,optimism-impact-ranking
tokensoft_token-tokensoft,Bidirectional FIL Bridge
nouns-ourzora,Builder Protocol (Nouns)
certificate-verification,Certificate-Verification
ipfspace-zhangpeibin,DDshare (prev. IPFSpace)
saas3-foundation,Decentralized API (DeAI)
optimism-resource-center-govguide,Optimism Resource Center
piethereum-hardware,PiEthereumHardwareWallet
js-ethereum-cryptography-ethereum,js-ethereum-cryptography
naturedefender-safaridao,naturedefender-safariDAO
cosmosforhumanity,Cosmos for Humanity | C4H
polyphene,FVM - High Level Rust SDK
cryptic-entertainments,Filecoin Community Anthem
crypto-apis,Key Management System SDK
lighthouse-sigp,Lighthouse by Sigma Prime
messari,Messari Protocol Services
dappnodepackage-optimism,Optimism DAppNode Package
optimism-prices,Optimism Prices Contracts
princeton-blockchain-club,Princeton-Blockchain-Club
radicalxchange,RadicalxChange Foundation
commonsbuild,Token Engineering Commons
world-wide-web-foundation,World Wide Web Foundation
impact-finance,inTheory Research Funding
docs,Ancon (prev. XDV) Protocol
glitter-tedl-1990,Glitter RSS Reader Desktop
project-squallet-refractor-labs,Project Squallet from Lore
punk-domains,Punk Domains & Iggy Social
stacktical,Stacktical (DSLA Protocol)
postlight,Starling CLI + API Phase 2
metagov,The Metagovernance Project
hildobby,"hildobby""s Dune dashboards"
153x153x153,153 <> Vouch by Blockravers
webrecorder,Browser Based Web Archiving
pm-ethereum,Ethereum Project Management
fraud-detection-and-defense,Fraud-Detection-and-Defense
kzg-marble-machine-xofee,KZG-Marble-machine by Xofee
pepemon-dao,Pepemon: Degen Battleground
portraitgg,Portrait (prev. Blockforge)
kzg-ceremony-specs-ethereum,Powers of Tau Specification
rere-recursos-regenerativos,ReRe-Recursos-Regenerativos
tokenengineeringcommunity,Token Engineering Community
tradingview-alert-connector,Tradingview-Alert-Connector
w3projecthub,W3 Project Hub │ W3展報
utp-ethereum,uTorrent transport protocol
aiinsure4.git-aiinsure,AiInsure - NextGen Insurance
b-labs-research-organisation,B-Labs-Research-Organisation
bunniapp,Bunniapp by Timeless Finance
dexgridpr,DexGrid Community Microgrids
ethereum-attestation-service,Ethereum Attestation Service
ethereum-venezuela-community,Ethereum-Venezuela-Community
statechannels-statechannels,Optimized multi-hop payments
optinames-optimismresolver,Optinames & OptimismResolver
sphinx-chugsplash,Sphinx (formerly ChugSplash)
tokenbound,Tokenbound: Tooling for 6551
seal-inc,seal: UI for smart contracts
artozoproject,Artozo x Filecoin integration
attestation-station-interface-sbvegan,Attestation Station Interface
bonding-curves,Bonding Curves Research Group
execution-spec-tests-ethereum,Ethereum Execution Spec Tests
eth-portal-ethereum,Ethereum Portal Network Tools
qidao-mai-finance,Mai Finance (Qi Dao Protocol)
rig-ethereum,Robust Incentives Group (RIG)
filswan,S3 Compatible Storage Gateway
sniper-monke-gmx-v2-analytics,sniper-monke-gmx-v2-analytics
goerli-eth-clients,Department of Decentralization
electronic-frontier-foundation,Electronic Frontier Foundation
equilibria-xyz,Equilibria (Perennial Finance)
harvard-library-innovation-lab,Harvard Library Innovation Lab
social-machines,Interplanetary Library Catalog
wighawag,Jolly Roger and Hardhat-deploy
mississippi-labs,Mississippi Labs & AutoChessia
wp-rainbow-davisshaver,RainbowKit Login for WordPress
encloud,TEE Enabled Bacalhau Prototype
science-commons-initiative,The Science Commons Initiative
trailofbits,Trail of Bits Security Reviews
womenbiz,Women Biz - Optimism education
aw-labs,Autonomous World Labs (AW Labs)
livepeer-pricing-tool-buidl-labs,DataStation (Miner Marketplace)
directed-development-foundation,DirectEd Development Foundation
blockrockettech,Filecoin backed NFTShapshot Bot
freedom-of-the-press-foundation,Freedom of the Press Foundation
open-defi-notification-protocol,Open Defi Notification Protocol
renovi-nft-mojodigital,Renovi Marketplace Applications
spacetocertificatephysicalmusic,SpaceToCertificatePhysicalMusic
understanding-optimism-codebase-joohhnnn,Understanding Optimism Codebase
aqaro-decentralized-real-estate,aqaro-decentralized-real-estate
human-rights-data-analysis-group,Human Rights Data Analysis Group
starling-filecoin-project,Starling CLI + API User Research
blockchain-governance-experiments,Blockchain-Governance-Experiments
gray-area-foundation-for-the-arts,Gray Area Foundation for the Arts
go-hop-exchange-myelnet,Secondary Retrieval Market (Myel)
wise-crowds-liberating-structures,Wise Crowds Liberating Structures
nethereum-nethereum,.NET SDK + Unity Demo by Nethereum
blockchainedu,Blockchain Education Network (BEN)
definitely-not-m00npapi-slush-fund,Definitely-not-m00npapi-slush-fund
ensdomains,ENS Support for Filecoin Addresses
fusion-icons,Fusion - Open Source Web3 Icon Set
labdao,LabDAO + Bacalhau Core Integration
povp-help-grow,Proof of Volunteer Protocol (POVP)
twocents-os,Two Cents Decentralised Identities
attestation-visualizer-xvoorvaa,Attestation Visualizer for RetroPGF
text-to-text-transfer-transformer-google-research,Decomposing Machine Learning Models
gitcoincn,Gitcoin China Ecosystem Development
itheum,Itheum Decentralised Data Brokerage
0xbcamp,Optimism Solidity Survivor Bootcamp
volaverse,Volaverse: An Educational Metaverse
toadsadventuresincryptosecurityland,toadsadventuresincryptosecurityland
photon-storage,Photon: Distributed Pinning Protocol
datonic,datonic & Gitcoin Grants Data Portal
blits_wallet-blitslabs,Decentralized FIL Loan Market (Blits)
coin-cashew,Ethereum Staking Guides by CoinCashew
fil-wallet-llifezou,FIL-wallet-pro  Focus on miner wallet
kulaearth,Kula (कुल) Regenerative Commons
thelegacynetwork,Legacy – Preserving Memoirs Forever
cryptowhizzard,SBPS: Solar & Battery-Powered Storage
tx-engine-vultureprime,TxEngine - Dune Analytics Alternative
adaptiveresources,v2 Defi for Sustainable Supply Chains
antoinemcgrath,Congress.ai - Legislative Data Archive
opengsn,OpenGSN: Ethereum Gas Stations Network
lf-lifefram,Lifefram - Encyclopedia of the Departed
shambadynamic,Shamba DMRV and Ecological Data Oracle.
wallet-abstraction-qd-qd,Wallet-Abstraction -- ETHGlobal NY 2023
web3renewables,Web3 Renewables - Green Energy Sourcing
hive-ethereum,hive - Ethereum end-to-end test harness
execution-specs-ethereum,Ethereum Execution Client Specifications
storswift,Offline Signature Commands of Owner Wallet
chronicleprotocol,Chronicle Labs (formerly Maker Oracle team)
nft-game-machine-optimus789,Games To Web3 (Previously NFT Game Machine)
eth-infinitism-account-abstraction,Infinitism (ERC-4337) - Account Abstraction
orbit-db-orbitdb,OrbitDB Filecoin Integration by Equilibrium
someresatguides,Somer Esat Ethereum Staking Guides (Ubuntu)
stereum-dev,Stereum - Ethereum Node Installer & Manager
distributed-validator-specs-ethereum,Ethereum Distributed Validator Specification
py-evm-ethereum,Python Implementation of the Ethereum protocol
180protocol,Encryption Utility and Privacy Enhanced Compute
finflix-demo-finflix,FinFlix: Decentralised Crypto Learning Platform
opml-labs,OPML: OPtimistic Machine Learning on Blockchain
consensus-specs-ethereum,Ethereum Proof-of-Stake Consensus Specifications
swimgithub,Unreal Engine NFT Integration By Filecoin & SWIM
emttr-aspiringsecurity,EMTTR: Electronic Medicine Trial and Test Records
cadcad-org,cadCAD: Computer Aided Design for Complex Systems
subconsciousnetwork,`rs-ucan`: Rust crates to support UCAN-based authz
plume-sig,PLUME: Pseudonymously Linked Unique Message Entities
froghub-io,Tool for applying test vectors from Ethereum on FEVM
portal-hive-ethereum,portal-hive - Portal network end-to-end test harness
chainstack,FVM public testnet/mainnet API hosting and operations
eth-wizard-stake-house,eth-wizard: An Ethereum validator installation wizard
wusirdcenter,Decoupling WinningPoSt and WindowPoSt from lotus-miner
digital-mob-filecoin,Block Explorer with FVM / FEVM support [Beryx explorer]
cryptocuriouspr,CryptoCurious- Puerto Rico Blockchain Trade Association
initc3,The Initiative for Cryptocurrencies and Contracts (IC3)
ai-art-attribution-bacalhau-project,Algovera: Decentralised Storage for Data Science Communities
endangeredtokens,Endangered Tokens: Endangered Trees as ReFi Biodiversity Assets 
statwig,StaTwig Supply Chain Visibility for Life Saving Vaccines and Food
